Año;Cód. Institución;Nombre Institución;Nombre de la Sede;Comuna donde se imparte la carrera o programa;Cód. Carrera;Carrera Genérica;Nombre Programa;Horario;Tipo Programa;Tipo Carrera;IngresoDirecto;Año Inicio Actividades;Duración (en semestres);Cód. Campus;Cód. Sede;Título;Código SIES;Pregrado/Posgrado;COD_SED_DERIVADO;COD_CAR_DERIVADO;JOR_DERIVADA;VERSION_DERIVADA;CLAVE_OPERATIVA;VALIDACION_CODIGO_UNICO;VALIDACION_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;32513;Técnico en Automatización, Control automático y similares;TNS en Automatización y Control Industrial;Vespertino;Programa Regular;Técnico Nivel Superior;Ingreso Directo;2015;5;2024001001;2024001;Técnico Nivel Sup. en Automatización y Control Industrial;I162S2C11J2V1;Pregrado;2;11;2;1;I162S2C11J2V1|32513|TNS EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL|VESPERTINO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;6677;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Diurno;Programa Regular;Profesional;Ingreso Directo;1990;8;;2024001;Ingeniero en Informática;I162S2C1J1V2;Pregrado;2;1;1;2;I162S2C1J1V2|6677|INGENIERÍA EN INFORMÁTICA|DIURNO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;6678;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Vespertino;Programa Regular;Profesional;Ingreso Directo;1990;8;;2024001;Ingeniero en Informática;I162S2C1J2V4;Pregrado;2;1;2;4;I162S2C1J2V4|6678|INGENIERÍA EN INFORMÁTICA|VESPERTINO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;6680;Ingeniería en Conectividad y Redes;Ingeniería en Conectividad y Redes;Vespertino;Programa Regular;Profesional;Ingreso Directo;2002;8;;2024001;Ingeniero en Conectividad y Redes;I162S2C3J2V4;Pregrado;2;3;2;4;I162S2C3J2V4|6680|INGENIERÍA EN CONECTIVIDAD Y REDES|VESPERTINO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;38816;Ingeniería en Conectividad y Redes;Ingeniería en Conectividad y Redes;Otro;Programa Regular;Profesional;Ingreso Directo;2018;8;2024001001;2024001;Ingeniero en Conectividad y Redes;I162S2C3J4V2;Pregrado;2;3;4;2;I162S2C3J4V2|38816|INGENIERÍA EN CONECTIVIDAD Y REDES|OTRO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;40713;Ingeniería en Computación e Informática y similares;Ingeniería en Ciberseguridad;Diurno;Programa Regular;Profesional;Ingreso Directo;2019;8;2024001001;2024001;Ingeniero en Ciberseguridad;I162S2C46J1V1;Pregrado;2;46;1;1;I162S2C46J1V1|40713|INGENIERÍA EN CIBERSEGURIDAD|DIURNO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;40714;Ingeniería en Computación e Informática y similares;Ingeniería en Ciberseguridad;Vespertino;Programa Regular;Profesional;Ingreso Directo;2019;8;2024001001;2024001;Ingeniero en Ciberseguridad;I162S2C46J2V1;Pregrado;2;46;2;1;I162S2C46J2V1|40714|INGENIERÍA EN CIBERSEGURIDAD|VESPERTINO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;38817;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Otro;Programa Regular;Profesional;Ingreso Directo;2018;8;2024001001;2024001;Ingeniero en Informática;I162S2C46J4V2;Pregrado;2;46;4;2;I162S2C46J4V2|38817|INGENIERÍA EN INFORMÁTICA|OTRO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;43928;Ingeniería en Computación e Informática y similares;Ingeniería en Ciberseguridad;Otro;Programa Regular;Profesional;Ingreso Directo;2020;4;2024001001;2024001;Ingeniero en Ciberseguridad;I162S2C46J4V3;Pregrado;2;46;4;3;I162S2C46J4V3|43928|INGENIERÍA EN CIBERSEGURIDAD|OTRO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;40717;Técnico en Análisis de Sistemas Informáticos;TNS en Ciberseguridad;Diurno;Programa Regular;Técnico Nivel Superior;Ingreso Directo;2019;5;2024001001;2024001;Técnico Nivel Sup. en Ciberseguridad;I162S2C47J1V1;Pregrado;2;47;1;1;I162S2C47J1V1|40717|TNS EN CIBERSEGURIDAD|DIURNO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;40711;Técnico en Análisis de Sistemas Informáticos;TNS en Ciberseguridad;Vespertino;Programa Regular;Técnico Nivel Superior;Ingreso Directo;2019;5;2024001001;2024001;Técnico Nivel Sup. en Ciberseguridad;I162S2C47J2V1;Pregrado;2;47;2;1;I162S2C47J2V1|40711|TNS EN CIBERSEGURIDAD|VESPERTINO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;43931;Técnico en Análisis de Sistemas Informáticos;TNS en Ciberseguridad;Otro;Programa Regular;Técnico Nivel Superior;Ingreso Directo;2020;5;2024001001;2024001;Técnico Nivel Sup. en Ciberseguridad;I162S2C47J4V1;Pregrado;2;47;4;1;I162S2C47J4V1|43931|TNS EN CIBERSEGURIDAD|OTRO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;43935;Técnico Programador Computacional;TNS en Programación y Análisis de Sistemas;Diurno;Programa Regular;Técnico Nivel Superior;Ingreso Directo;2020;5;2024001001;2024001;Técnico Nivel Sup. en Programación y Análisis de Sistemas;I162S2C57J1V1;Pregrado;2;57;1;1;I162S2C57J1V1|43935|TNS EN PROGRAMACIÓN Y ANÁLISIS DE SISTEMAS|DIURNO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;43930;Técnico Programador Computacional;TNS en Programación y Análisis de Sistemas;Vespertino;Programa Regular;Técnico Nivel Superior;Ingreso Directo;2020;5;2024001001;2024001;Técnico Nivel Sup. en Programación y Análisis de Sistemas;I162S2C57J2V1;Pregrado;2;57;2;1;I162S2C57J2V1|43930|TNS EN PROGRAMACIÓN Y ANÁLISIS DE SISTEMAS|VESPERTINO;OK;REVISAR_COD_CARRERA
2025;2024;IP SAN SEBASTIÁN;Santiago;Santiago;43932;Técnico Programador Computacional;TNS en Programación y Análisis de Sistemas;Otro;Programa Regular;Técnico Nivel Superior;Ingreso Directo;2020;5;2024001001;2024001;Técnico Nivel Sup. en Programación Computacional y Análisis de Sistemas;I162S2C57J4V1;Pregrado;2;57;4;1;I162S2C57J4V1|43932|TNS EN PROGRAMACIÓN Y ANÁLISIS DE SISTEMAS|OTRO;OK;REVISAR_COD_CARRERA
