severidad;codigo;fila_excel;cod_sede;cod_carrera;nombre_carrera;campo;valor;mensaje
BLOQUEANTE;VACANTES_2SEM;4;2;111;INGENIERIA EN FINANZAS;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;5;2;112;INGENIERIA EN MARKETING DIGITAL;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;6;2;113;INGENIERIA EN RECURSOS HUMANOS;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;9;2;124;INGENIERIA EN PREVENCION DE RIESGOS;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;10;2;125;INGENIERIA EN SEGURIDAD PRIVADA;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;26;2;86;AUDITORIA;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;27;2;87;INGENIERIA INDUSTRIAL;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;28;2;88;INGENIERIA EN CIENCIA DE DATOS;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;30;2;57;TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;31;2;46;INGENIERIA EN CIBERSEGURIDAD;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
