campo_esperado,estado,nombre_real_detectado,fuente
PERIODO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
CODIGO_INSTITUCION,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
NOMBRE_INSTITUCION,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
TIPO_INSTITUCION_I,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
TIPO_INSTITUCION_II,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
TIPO_INSTITUCION_III,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_MUJERES,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_HOMBRES,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_TOTAL,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
EDAD_PROM_MUJERES,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
EDAD_PROM_HOMBRES,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
EDAD_PROM_GENERAL,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_MUJER_MENOS_35,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_MUJER_35_44,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_MUJER_45_54,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_MUJER_55_64,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_MUJER_65_MAS,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_MUJER_SIN_INFO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_HOMBRE_MENOS_35,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_HOMBRE_35_44,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_HOMBRE_45_54,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_HOMBRE_55_64,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_HOMBRE_65_MAS,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_HOMBRE_SIN_INFO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_EN_1_INSTITUCION,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_EN_2_INSTITUCIONES,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_EN_3_O_MAS_INSTITUCIONES,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_DOCTOR,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_MAGISTER,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_ESPECIALIDAD_MEDICA_ODONTOLOGICA,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_TITULO_PROFESIONAL,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_LICENCIATURA,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_TECNICO_NIVEL_SUPERIOR,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_TECNICO_NIVEL_MEDIO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_LICENCIA_ENSENANZA_MEDIA,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_SIN_TITULO_NI_GRADO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_SIN_INFORMACION_FORMACION,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_ARICA_PARINACOTA,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_TARAPACA,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_ANTOFAGASTA,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_ATACAMA,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_COQUIMBO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_VALPARAISO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_METROPOLITANA,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_OHIGGINS,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_MAULE,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_NUBLE,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_BIOBIO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_ARAUCANIA,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_LOS_RIOS,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_LOS_LAGOS,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_AYSEN,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_MAGALLANES,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_REGION_SIN_INFORMACION,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_CHILENO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_EXTRANJERO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
HORAS_PROM_MUJERES,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
HORAS_PROM_HOMBRES,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
HORAS_PROM_GENERAL,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_HORAS_MENOS_11,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_HORAS_11_MENOS_23,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_HORAS_23_MENOS_39,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_HORAS_39_MAS,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
ACAD_HORAS_SIN_INFORMACION,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_MUJERES,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_HOMBRES,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_TOTAL,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
EDAD_JCE_PROM_MUJERES,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
EDAD_JCE_PROM_HOMBRES,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
EDAD_JCE_PROM_GENERAL,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_DOCTOR,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_MAGISTER,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_ESPECIALIDAD_MEDICA_ODONTOLOGICA,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_TITULO_PROFESIONAL,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_LICENCIATURA,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_TECNICO_NIVEL_SUPERIOR,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_TECNICO_NIVEL_MEDIO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_LICENCIA_ENSENANZA_MEDIA,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_SIN_TITULO_NI_GRADO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_SIN_INFORMACION_FORMACION,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_CHILENO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_EXTRANJERO,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_HORAS_MENOS_11,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_HORAS_11_MENOS_23,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_HORAS_23_MENOS_39,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
JCE_HORAS_39_MAS,ENCONTRADO,,PAC_web_2008_2025_SIES_EE.xlsx
