encabezado_preliminar	encabezado_normalizado	encabezado_oficial	estado_mapeo	observacion
TIPO_DOCUMENTO	TIPO_DOCUMENTO	TIPO_DOCUMENTO	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NUM_DOCUMENTO	NUM_DOCUMENTO	NUM_DOCUMENTO	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
DV	DV	DV	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
PRIMER_APELLIDO	PRIMER_APELLIDO	PRIMER_APELLIDO	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
SEGUNDO_APELLIDO	SEGUNDO_APELLIDO	SEGUNDO_APELLIDO	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NOMBRES	NOMBRES	NOMBRES	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
SEXO	SEXO	SEXO	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
FECHA_NACIMIENTO	FECHA_NACIMIENTO	FECHA_NACIMIENTO	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NACIONALIDAD	NACIONALIDAD	NACIONALIDAD	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NIVEL_FORMACIÓN_ACADÉM	NIVEL_FORMACION_ACADEM	NIVEL_FORMACION_ACADEMICO	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NOMBRE_TÍTULO O GRADO	NOMBRE_TITULO_O_GRADO	NOMBRE_TITULO_O_GRADO	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NOMB_INSTIT_OBT_TÍTULO	NOMB_INSTIT_OBT_TITULO	NOMBRE_INSTITUCION_OBT_TITULO	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
PAÍS_OBT_TÍTULO_O_GRADO	PAIS_OBT_TITULO_O_GRADO	PAIS_OBTENCION_TIT_O_GRADO	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
FECHA_OBT_TÍTULO_O_GRADO	FECHA_OBT_TITULO_O_GRADO	FECHA_OBT_TIT_O_GRADO	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NIVEL_FORMACIÓN_ESPECIALIDAD	NIVEL_FORMACION_ESPECIALIDAD	NIVEL_FORMACION_ESPECIALIDAD	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
TIPO_ESPECIALIDAD	TIPO_ESPECIALIDAD	TIPO_ESPECIALIDAD	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NOMBRE_ESPECIALIDAD	NOMBRE_ESPECIALIDAD	NOMBRE_ESPECIALIDAD	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NOMBRE_INSTITUC_OBT_ESPECIALIDAD	NOMBRE_INSTITUC_OBT_ESPECIALIDAD	NOMBRE_INST_OBT_ESPECIALIDAD	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
PAÍS_OBT_ESPECIALIDAD	PAIS_OBT_ESPECIALIDAD	PAIS_OBTENCION_ESPECIALIDAD	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
FECHA_OBT_ESPECIALIDAD	FECHA_OBT_ESPECIALIDAD	FECHA_OBTENCION_ESPECIALIDAD	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
PRINCIPAL_CARGO_ACADÉMICO	PRINCIPAL_CARGO_ACADEMICO	PRINCIPAL_CARGO_ACADEMICO	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
CARGO_NORMALIZADO	CARGO_NORMALIZADO	CARGO_NORMALIZADO	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NIVEL_SUPERIOR_ADSCRIPCIÓN	NIVEL_SUPERIOR_ADSCRIPCION	NIVEL_SUPERIOR_ADSCRIPCION	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NIVEL_SECUNDARIO_ADSCRIPCIÓN	NIVEL_SECUNDARIO_ADSCRIPCION	NIVEL_SECUNDARIO_ADSCRIPCION	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
COMUNA_MAYOR_FUNCIÓN	COMUNA_MAYOR_FUNCION	COMUNA_MAYOR_FUNCION	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NOMBRE_PRINCIPAL_PROGRAMA	NOMBRE_PRINCIPAL_PROGRAMA	NOMBRE_PRINCIPAL_PROGRAMA	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
TOTAL_HORAS_PRINCIPAL_PROGRAMA	TOTAL_HORAS_PRINCIPAL_PROGRAMA	TOTAL_HORAS_PRINCIPAL_PROGRAMA	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
COMUNA_PRINCIPAL_PROGRAMA	COMUNA_PRINCIPAL_PROGRAMA	COMUNA_PRINCIPAL_PROGRAMA	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NUM_HORAS_PLANTA	NUM_HORAS_PLANTA	NUM_HORAS_PLANTA	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NUM_HORAS_CONTRATA	NUM_HORAS_CONTRATA	NUM_HORAS_CONTRATA	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
NUM_HORAS_HONORARIO	NUM_HORAS_HONORARIO	NUM_HORAS_HONORARIOS	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
JERARQUÍA_ACADÉMICA	JERARQUIA_ACADEMICA	JERARQUIA_ACADEMICA	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
JERARQUÍA_ACADÉMICA_OCDE	JERARQUIA_ACADEMICA_OCDE	JERARQUIA_ACADEMICA_OCDE	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
VIGENCIA	VIGENCIA	VIGENCIA	MAPEADO	Mapeo por estructura oficial y normalizacion tecnica preventiva de encabezado.
