ruta,estado_git,categoria,contiene_PII,versionar,commit_propuesto,justificacion,dependencia,riesgo
00_control/CONTROL_NO_MODIFICACION.json,nuevo_no_rastreado_visible,00_control,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
00_control/DIAGNOSTICO_GIT.json,nuevo_no_rastreado_visible,00_control,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
00_control/DICTAMEN_CONGELAMIENTO.json,nuevo_no_rastreado_visible,00_control,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
00_control/INVENTARIO_FUENTES.csv,ignored_por_gitignore,00_control,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,requiere_excepcion_o_add_forzado_autorizado
00_control/MANIFEST.json,nuevo_no_rastreado_visible,00_control,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
00_control/MANIFEST_HITO_5.tsv,ignored_por_gitignore,00_control,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,requiere_excepcion_o_add_forzado_autorizado
00_control/RESUMEN_FINAL_GENERACION.json,nuevo_no_rastreado_visible,00_control,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
00_control/SHA256SUMS.txt,nuevo_no_rastreado_visible,00_control,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
00_control/VERSION.json,nuevo_no_rastreado_visible,00_control,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
01_documentacion/CHANGELOG.md,nuevo_no_rastreado_visible,01_documentacion,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
01_documentacion/COMPARABILIDAD.md,nuevo_no_rastreado_visible,01_documentacion,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
01_documentacion/FUENTES_Y_TRAZABILIDAD.md,nuevo_no_rastreado_visible,01_documentacion,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
01_documentacion/GLOSARIO.md,nuevo_no_rastreado_visible,01_documentacion,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
01_documentacion/LIMITACIONES_Y_ADVERTENCIAS.md,nuevo_no_rastreado_visible,01_documentacion,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
01_documentacion/METODOLOGIA.md,nuevo_no_rastreado_visible,01_documentacion,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
01_documentacion/RELEASE_NOTES.md,nuevo_no_rastreado_visible,01_documentacion,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
02_resultados_publicables/KPI_ROTACION_HISTORICO_V1_0.csv,ignored_por_gitignore,02_resultados_publicables,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,requiere_excepcion_o_add_forzado_autorizado
02_resultados_publicables/KPI_ROTACION_HISTORICO_V1_0.json,nuevo_no_rastreado_visible,02_resultados_publicables,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
02_resultados_publicables/NOTA_METODOLOGICA_PUBLICACION.md,nuevo_no_rastreado_visible,02_resultados_publicables,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
02_resultados_publicables/RESUMEN_EJECUTIVO.md,nuevo_no_rastreado_visible,02_resultados_publicables,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
03_resultados_internos_restringidos/README_RESTRINGIDO.md,nuevo_no_rastreado_visible,03_resultados_internos_restringidos,no,no,No versionar,referencia restringida o posible PII,revision humana,alto_si_se_versiona
04_evidencia_auditoria/INDICE_AUDITORIAS.md,nuevo_no_rastreado_visible,04_evidencia_auditoria,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
04_evidencia_auditoria/MATRIZ_EVIDENCIA.csv,ignored_por_gitignore,04_evidencia_auditoria,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,requiere_excepcion_o_add_forzado_autorizado
05_pruebas/RESULTADO_PRUEBAS_TECNICAS.json,nuevo_no_rastreado_visible,05_pruebas,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
05_pruebas/VALIDACION_RELEASE.json,nuevo_no_rastreado_visible,05_pruebas,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
05_pruebas/VALIDACION_RELEASE.md,nuevo_no_rastreado_visible,05_pruebas,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
06_integracion_propuesta/INVENTARIO_VERSIONAMIENTO.csv,ignored_por_gitignore,06_integracion_propuesta,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,requiere_excepcion_o_add_forzado_autorizado
06_integracion_propuesta/PLAN_INTEGRACION_GIT.md,nuevo_no_rastreado_visible,06_integracion_propuesta,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
06_integracion_propuesta/PROPUESTA_COMMITS.md,nuevo_no_rastreado_visible,06_integracion_propuesta,no,si,Release v1.0 sin PII,artefacto de congelamiento,revision humana,bajo
