CODIGO_KPI,INDICADOR,DIMENSION,DEFINICION,FORMULA,UNIDAD,SENTIDO,META_REFERENCIAL,SEMAFORO,NIVEL_ANALISIS,PUBLICABILIDAD,LIMITACION,FUENTE,VERSION
EST_DOTACION_TOTAL,DOTACION_TOTAL,ESTABILIDAD,Universo anual normalizado.,conteo de personas únicas por año,personas,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
EST_REINGRESOS,REINGRESOS,ESTABILIDAD,Indicador longitudinal descriptivo.,personas que reaparecen luego de un año ausente,personas,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
DIV_PORC_MUJERES,PORC_MUJERES,DIVERSIDAD,No establece causalidad.,mujeres / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
DIV_PORC_HOMBRES,PORC_HOMBRES,DIVERSIDAD,No establece causalidad.,hombres / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
DIV_BRECHA_GENERO_PP,BRECHA_GENERO_PP,DIVERSIDAD,"Brecha descriptiva, no causal.",abs(% hombres - % mujeres),pp,BAJA_ES_FAVORABLE,10,BRECHA_GENERO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
DIV_INDICE_PARIDAD_GENERO,INDICE_PARIDAD_GENERO,DIVERSIDAD,Índice descriptivo.,"min(hombres,mujeres) / max(hombres,mujeres) * 100",%,SUBE_ES_FAVORABLE,,INFORMATIVO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
DIV_EDAD_PROMEDIO,EDAD_PROMEDIO,DIVERSIDAD,Edad calculada por año.,promedio edad al 31 de diciembre,años,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
DIV_EDAD_MEDIANA,EDAD_MEDIANA,DIVERSIDAD,Edad calculada por año.,mediana edad al 31 de diciembre,años,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
DIV_PORC_MENORES_30,PORC_MENORES_30,DIVERSIDAD,Tramo etario descriptivo.,personas menores de 30 / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
DIV_PORC_60_MAS,PORC_60_MAS,DIVERSIDAD,Tramo etario descriptivo.,personas de 60 o más / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
CAP_HORAS_TOTALES,HORAS_TOTALES,CAPACIDAD,No equivale automáticamente a JCE.,planta + contrata + honorarios,horas,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
CAP_HORAS_PROMEDIO,HORAS_PROMEDIO,CAPACIDAD,Promedio descriptivo.,horas totales / personas,horas,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
CAP_HORAS_MEDIANA,HORAS_MEDIANA,CAPACIDAD,Mediana descriptiva.,mediana horas contractuales,horas,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
CAP_PORC_HORAS_PLANTA,PORC_HORAS_PLANTA,CAPACIDAD,Participación de componente horario.,horas planta / horas totales * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
CAP_PORC_HORAS_HONORARIOS,PORC_HORAS_HONORARIOS,CAPACIDAD,Participación de componente horario.,horas honorarios / horas totales * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
CAP_PORC_PERSONAS_MAS_44,PORC_PERSONAS_MAS_44,CAPACIDAD,Control descriptivo de horas contractuales.,personas con más de 44 horas / dotación total * 100,%,BAJA_ES_FAVORABLE,0,MAS_44,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
CAP_PERSONAS_MAS_44,PERSONAS_MAS_44,CAPACIDAD,Control descriptivo de horas contractuales.,conteo personas con más de 44 horas contractuales,personas,BAJA_ES_FAVORABLE,,INFORMATIVO,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
FOR_PORC_DOCTORADO,PORC_DOCTORADO,FORMACION,Categoría homologada por código oficial.,doctorado / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
FOR_PORC_MAGISTER,PORC_MAGISTER,FORMACION,Categoría homologada por código oficial.,magíster / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
FOR_PORC_TITULO_PROFESIONAL,PORC_TITULO_PROFESIONAL,FORMACION,Categoría homologada por código oficial.,título profesional / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
FOR_PORC_TECNICO_NIVEL_SUPERIOR,PORC_TECNICO_NIVEL_SUPERIOR,FORMACION,Categoría homologada por código oficial.,técnico nivel superior / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
FOR_PORC_FORMACION_POSTGRADO,PORC_FORMACION_POSTGRADO,FORMACION,Agrupa códigos oficiales 1 y 2.,(doctorado + magíster) / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
CAR_PORC_DOCENTES,PORC_DOCENTES,CARGO,Cargo homologado por código oficial.,docentes / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
CAR_PORC_DIRECTIVOS,PORC_DIRECTIVOS,CARGO,Agrupación descriptiva de cargos oficiales.,cargos directivos / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
CAR_PORC_COORDINADORES,PORC_COORDINADORES,CARGO,Cargo homologado por código oficial.,coordinadores / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
PRO_NUM_PROGRAMAS,NUM_PROGRAMAS,PROGRAMAS,Homologación textual conservadora.,conteo de programas homologados,programas,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
PRO_CONCENTRACION_TOP_1,CONCENTRACION_TOP_1,PROGRAMAS,Concentración descriptiva.,programa principal con más personas / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
PRO_CONCENTRACION_TOP_3,CONCENTRACION_TOP_3,PROGRAMAS,Concentración descriptiva.,tres programas principales / dotación total * 100,%,INFORMATIVO,,INFORMATIVO,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
PRO_INDICE_HHI_PROGRAMAS,INDICE_HHI_PROGRAMAS,PROGRAMAS,HHI no es juicio de calidad por sí mismo.,suma de cuadrados de participaciones por programa,índice,BAJA_ES_FAVORABLE,,HHI,ANUAL,PUBLICABLE_CON_ADVERTENCIA,Indicador agregado; no permite inferencia individual.,08_DATOS_CRUZADOS,4.0
CAL_COBERTURA_CLAVE,COBERTURA_CLAVE,CALIDAD,Cobertura agregada sin PII.,conformes del control 'clave documental completa' / universo * 100,%,SUBE_ES_FAVORABLE,100,COBERTURA,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,07_CALIDAD_DATOS,4.0
CAL_COBERTURA_SEXO,COBERTURA_SEXO,CALIDAD,Cobertura agregada sin PII.,conformes del control 'sexo interpretable' / universo * 100,%,SUBE_ES_FAVORABLE,95,COBERTURA,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,07_CALIDAD_DATOS,4.0
CAL_COBERTURA_EDAD,COBERTURA_EDAD,CALIDAD,Cobertura agregada sin PII.,conformes del control 'edad calculable' / universo * 100,%,SUBE_ES_FAVORABLE,100,COBERTURA,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,07_CALIDAD_DATOS,4.0
CAL_COBERTURA_HORAS,COBERTURA_HORAS,CALIDAD,Cobertura agregada sin PII.,conformes del control 'horas totales calculables' / universo * 100,%,SUBE_ES_FAVORABLE,100,COBERTURA,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,07_CALIDAD_DATOS,4.0
CAL_COBERTURA_FORMACION,COBERTURA_FORMACION,CALIDAD,Cobertura agregada sin PII.,conformes del control 'formación homologable' / universo * 100,%,SUBE_ES_FAVORABLE,95,COBERTURA,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,07_CALIDAD_DATOS,4.0
CAL_COBERTURA_CARGO,COBERTURA_CARGO,CALIDAD,Cobertura agregada sin PII.,conformes del control 'cargo homologable' / universo * 100,%,SUBE_ES_FAVORABLE,95,COBERTURA,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,07_CALIDAD_DATOS,4.0
CAL_COBERTURA_PROGRAMA,COBERTURA_PROGRAMA,CALIDAD,Cobertura agregada sin PII.,conformes del control 'programa informado' / universo * 100,%,SUBE_ES_FAVORABLE,95,COBERTURA,ANUAL,PUBLICABLE,Indicador agregado; no permite inferencia individual.,07_CALIDAD_DATOS,4.0
