CODIGO_KPI,INDICADOR,DIMENSION,ANIO_PERIODO,VALOR,UNIDAD,SEMAFORO,PUBLICABILIDAD,OBSERVACION
EST_DOTACION_TOTAL,DOTACION_TOTAL,ESTABILIDAD,2022,71,personas,GRIS,PUBLICABLE,Universo anual normalizado.
EST_REINGRESOS,REINGRESOS,ESTABILIDAD,2022,0,personas,GRIS,PUBLICABLE_CON_ADVERTENCIA,Indicador longitudinal descriptivo.
DIV_PORC_MUJERES,PORC_MUJERES,DIVERSIDAD,2022,15.492958,%,GRIS,PUBLICABLE,No establece causalidad.
DIV_PORC_HOMBRES,PORC_HOMBRES,DIVERSIDAD,2022,84.507042,%,GRIS,PUBLICABLE,No establece causalidad.
DIV_BRECHA_GENERO_PP,BRECHA_GENERO_PP,DIVERSIDAD,2022,69.014085,pp,ROJO,PUBLICABLE,"Brecha descriptiva, no causal."
DIV_INDICE_PARIDAD_GENERO,INDICE_PARIDAD_GENERO,DIVERSIDAD,2022,18.333333,%,GRIS,PUBLICABLE,Índice descriptivo.
DIV_EDAD_PROMEDIO,EDAD_PROMEDIO,DIVERSIDAD,2022,42.380282,años,GRIS,PUBLICABLE,Edad calculada por año.
DIV_EDAD_MEDIANA,EDAD_MEDIANA,DIVERSIDAD,2022,41,años,GRIS,PUBLICABLE,Edad calculada por año.
DIV_PORC_MENORES_30,PORC_MENORES_30,DIVERSIDAD,2022,7.042254,%,GRIS,PUBLICABLE,Tramo etario descriptivo.
DIV_PORC_60_MAS,PORC_60_MAS,DIVERSIDAD,2022,4.225352,%,GRIS,PUBLICABLE,Tramo etario descriptivo.
CAP_HORAS_TOTALES,HORAS_TOTALES,CAPACIDAD,2022,1051,horas,GRIS,PUBLICABLE,No equivale automáticamente a JCE.
CAP_HORAS_PROMEDIO,HORAS_PROMEDIO,CAPACIDAD,2022,14.802817,horas,GRIS,PUBLICABLE,Promedio descriptivo.
CAP_HORAS_MEDIANA,HORAS_MEDIANA,CAPACIDAD,2022,12,horas,GRIS,PUBLICABLE,Mediana descriptiva.
CAP_PORC_HORAS_PLANTA,PORC_HORAS_PLANTA,CAPACIDAD,2022,29.971456,%,GRIS,PUBLICABLE,Participación de componente horario.
CAP_PORC_HORAS_HONORARIOS,PORC_HORAS_HONORARIOS,CAPACIDAD,2022,70.028544,%,GRIS,PUBLICABLE,Participación de componente horario.
CAP_PORC_PERSONAS_MAS_44,PORC_PERSONAS_MAS_44,CAPACIDAD,2022,9.859155,%,ROJO,PUBLICABLE_CON_ADVERTENCIA,Control descriptivo de horas contractuales.
CAP_PERSONAS_MAS_44,PERSONAS_MAS_44,CAPACIDAD,2022,7,personas,GRIS,PUBLICABLE_CON_ADVERTENCIA,Control descriptivo de horas contractuales.
FOR_PORC_DOCTORADO,PORC_DOCTORADO,FORMACION,2022,1.408451,%,GRIS,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_MAGISTER,PORC_MAGISTER,FORMACION,2022,9.859155,%,GRIS,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_TITULO_PROFESIONAL,PORC_TITULO_PROFESIONAL,FORMACION,2022,73.239437,%,GRIS,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_TECNICO_NIVEL_SUPERIOR,PORC_TECNICO_NIVEL_SUPERIOR,FORMACION,2022,11.267606,%,GRIS,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_FORMACION_POSTGRADO,PORC_FORMACION_POSTGRADO,FORMACION,2022,11.267606,%,GRIS,PUBLICABLE_CON_ADVERTENCIA,Agrupa códigos oficiales 1 y 2.
CAR_PORC_DOCENTES,PORC_DOCENTES,CARGO,2022,90.140845,%,GRIS,PUBLICABLE_CON_ADVERTENCIA,Cargo homologado por código oficial.
CAR_PORC_DIRECTIVOS,PORC_DIRECTIVOS,CARGO,2022,8.450704,%,GRIS,PUBLICABLE_CON_ADVERTENCIA,Agrupación descriptiva de cargos oficiales.
CAR_PORC_COORDINADORES,PORC_COORDINADORES,CARGO,2022,1.408451,%,GRIS,PUBLICABLE_CON_ADVERTENCIA,Cargo homologado por código oficial.
PRO_NUM_PROGRAMAS,NUM_PROGRAMAS,PROGRAMAS,2022,6,programas,GRIS,PUBLICABLE_CON_ADVERTENCIA,Homologación textual conservadora.
PRO_CONCENTRACION_TOP_1,CONCENTRACION_TOP_1,PROGRAMAS,2022,33.802817,%,GRIS,PUBLICABLE_CON_ADVERTENCIA,Concentración descriptiva.
PRO_CONCENTRACION_TOP_3,CONCENTRACION_TOP_3,PROGRAMAS,2022,81.690141,%,GRIS,PUBLICABLE_CON_ADVERTENCIA,Concentración descriptiva.
PRO_INDICE_HHI_PROGRAMAS,INDICE_HHI_PROGRAMAS,PROGRAMAS,2022,0.246181,índice,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,HHI no es juicio de calidad por sí mismo.
EST_DOTACION_TOTAL,DOTACION_TOTAL,ESTABILIDAD,2023,70,personas,AMARILLO,PUBLICABLE,Universo anual normalizado.
EST_REINGRESOS,REINGRESOS,ESTABILIDAD,2023,0,personas,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Indicador longitudinal descriptivo.
DIV_PORC_MUJERES,PORC_MUJERES,DIVERSIDAD,2023,18.571429,%,AMARILLO,PUBLICABLE,No establece causalidad.
DIV_PORC_HOMBRES,PORC_HOMBRES,DIVERSIDAD,2023,81.428571,%,AMARILLO,PUBLICABLE,No establece causalidad.
DIV_BRECHA_GENERO_PP,BRECHA_GENERO_PP,DIVERSIDAD,2023,62.857143,pp,ROJO,PUBLICABLE,"Brecha descriptiva, no causal."
DIV_INDICE_PARIDAD_GENERO,INDICE_PARIDAD_GENERO,DIVERSIDAD,2023,22.807018,%,AMARILLO,PUBLICABLE,Índice descriptivo.
DIV_EDAD_PROMEDIO,EDAD_PROMEDIO,DIVERSIDAD,2023,41.342857,años,AMARILLO,PUBLICABLE,Edad calculada por año.
