HOJA,DIMENSIONES_IGUALES,VISIBILIDAD_IGUAL,TABLAS_IGUALES,GRAFICOS_IGUALES,FREEZE_IGUAL,FILTRO_IGUAL,DIF_VALORES,DIF_FORMATOS,DIF_FORMULAS,ESTADO
00_PORTADA,True,True,True,True,True,True,0,0,0,OK
01_RESUMEN_EJECUTIVO,True,True,True,True,True,True,0,0,0,OK
02_KPI_MAESTRO,True,True,True,True,True,True,0,0,0,OK
03_ESTABILIDAD,True,True,True,True,True,True,0,0,0,OK
04_DIVERSIDAD,True,True,True,True,True,True,0,0,0,OK
05_CAPACIDAD_HORAS,True,True,True,True,True,True,0,0,0,OK
06_FORMACION_CARGO,True,True,True,True,True,True,0,0,0,OK
07_CALIDAD_DATOS,True,True,True,True,True,True,0,0,0,OK
08_DATOS_CRUZADOS,True,True,True,True,True,True,0,0,0,OK
09_RAW_2022,True,True,True,True,True,True,0,0,0,OK
10_RAW_2023,True,True,True,True,True,True,0,0,0,OK
11_RAW_2024,True,True,True,True,True,True,0,0,0,OK
12_RAW_2025,True,True,True,True,True,True,0,0,0,OK
13_RAW_2026,True,True,True,True,True,True,0,0,0,OK
90_DICCIONARIO_KPI,True,True,True,True,True,True,0,0,0,OK
91_PARAMETROS,True,True,True,True,True,True,0,0,0,OK
92_CALCULOS,True,True,True,True,True,True,0,0,0,OK
93_VALIDACIONES,True,True,True,True,True,True,0,0,0,OK
