NOMBRE,TIPO,HOJA_DESTINO,RANGOS,SERIES,ESTADO
Dotación anual 2022-2026,LineChart,01_RESUMEN_EJECUTIVO,'92_CALCULOS'!$B$295:$B$299;'92_CALCULOS'!$A$295:$A$299,1,OK
Tasa de rotación por periodo,LineChart,01_RESUMEN_EJECUTIVO,'92_CALCULOS'!$B$303:$B$306;'92_CALCULOS'!$A$303:$A$306,1,OK
"Permanecen, rotan y nuevos",BarChart,01_RESUMEN_EJECUTIVO,'92_CALCULOS'!$B$310:$B$313;'92_CALCULOS'!$A$310:$A$313;'92_CALCULOS'!$C$310:$C$313;'92_CALCULOS'!$A$310:$A$313;'92_CALCULOS'!$D$310:$D$313;'92_CALCULOS'!$A$310:$A$313,3,OK
Hombres y mujeres por año,BarChart,01_RESUMEN_EJECUTIVO,'92_CALCULOS'!$B$317:$B$321;'92_CALCULOS'!$A$317:$A$321;'92_CALCULOS'!$C$317:$C$321;'92_CALCULOS'!$A$317:$A$321,2,OK
Distribución por tramo de edad,BarChart,01_RESUMEN_EJECUTIVO,'92_CALCULOS'!$B$325:$B$329;'92_CALCULOS'!$A$325:$A$329;'92_CALCULOS'!$C$325:$C$329;'92_CALCULOS'!$A$325:$A$329;'92_CALCULOS'!$D$325:$D$329;'92_CALCULOS'!$A$325:$A$329;'92_CALCULOS'!$E$325:$E$329;'92_CALCULOS'!$A$325:$A$329;'92_CALCULOS'!$F$325:$F$329;'92_CALCULOS'!$A$325:$A$329,5,OK
Horas totales y promedio,LineChart,01_RESUMEN_EJECUTIVO,'92_CALCULOS'!$B$333:$B$337;'92_CALCULOS'!$A$333:$A$337;'92_CALCULOS'!$C$333:$C$337;'92_CALCULOS'!$A$333:$A$337,2,OK
Distribución contractual por año,BarChart,01_RESUMEN_EJECUTIVO,'92_CALCULOS'!$B$341:$B$345;'92_CALCULOS'!$A$341:$A$345;'92_CALCULOS'!$C$341:$C$345;'92_CALCULOS'!$A$341:$A$345;'92_CALCULOS'!$D$341:$D$345;'92_CALCULOS'!$A$341:$A$345;'92_CALCULOS'!$E$341:$E$345;'92_CALCULOS'!$A$341:$A$345;'92_CALCULOS'!$F$341:$F$345;'92_CALCULOS'!$A$341:$A$345;'92_CALCULOS'!$G$341:$G$345;'92_CALCULOS'!$A$341:$A$345,6,OK
Formación académica por año,BarChart,01_RESUMEN_EJECUTIVO,'92_CALCULOS'!$B$349:$B$353;'92_CALCULOS'!$A$349:$A$353;'92_CALCULOS'!$C$349:$C$353;'92_CALCULOS'!$A$349:$A$353;'92_CALCULOS'!$D$349:$D$353;'92_CALCULOS'!$A$349:$A$353;'92_CALCULOS'!$E$349:$E$353;'92_CALCULOS'!$A$349:$A$353,4,OK
Docentes versus otros cargos,BarChart,01_RESUMEN_EJECUTIVO,'92_CALCULOS'!$B$357:$B$361;'92_CALCULOS'!$A$357:$A$361;'92_CALCULOS'!$C$357:$C$361;'92_CALCULOS'!$A$357:$A$361,2,OK
Cobertura de calidad de datos,LineChart,01_RESUMEN_EJECUTIVO,'92_CALCULOS'!$B$365:$B$369;'92_CALCULOS'!$A$365:$A$369;'92_CALCULOS'!$C$365:$C$369;'92_CALCULOS'!$A$365:$A$369;'92_CALCULOS'!$D$365:$D$369;'92_CALCULOS'!$A$365:$A$369;'92_CALCULOS'!$E$365:$E$369;'92_CALCULOS'!$A$365:$A$369;'92_CALCULOS'!$F$365:$F$369;'92_CALCULOS'!$A$365:$A$369;'92_CALCULOS'!$G$365:$G$369;'92_CALCULOS'!$A$365:$A$369;'92_CALCULOS'!$H$365:$H$369;'92_CALCULOS'!$A$365:$A$369,7,OK
