ruta,clasificacion,motivo
personal_academico_2026/releases/siipa_v4.0_20260714_180259/00_control/DICTAMEN_CONGELAMIENTO.json,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/00_control/INVENTARIO_ARTEFACTOS.csv,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/00_control/MANIFEST.json,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/00_control/SHA256SUMS.txt,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/00_control/VERSION.json,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/01_documentacion/DICCIONARIO_KPI.csv,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/01_documentacion/GUIA_REGENERACION.md,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/01_documentacion/LIMITACIONES.md,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/01_documentacion/METODOLOGIA.md,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/01_documentacion/NOTA_PUBLICABILIDAD.md,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/01_documentacion/README.md,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/02_generador/generar_siipa_kpi.py,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/03_resultados_publicables/PERSONAL_ACADEMICO_SIIPA_KPI_v4.0.xlsx,NO_VERSIONABLE_RESTRINGIDO,Excel completo restringido
personal_academico_2026/releases/siipa_v4.0_20260714_180259/03_resultados_publicables/RESUMEN_KPI_V4.csv,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/03_resultados_publicables/RESUMEN_KPI_V4.json,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/04_evidencia_reproducibilidad/COMPARACION_HOJAS.csv,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/04_evidencia_reproducibilidad/COMPARACION_LOGICA.json,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/04_evidencia_reproducibilidad/HASH_LOGICO.txt,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/04_evidencia_reproducibilidad/RESULTADO_REPRODUCCION.md,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/05_validaciones/CONTROL_ENLACES_EXTERNOS.json,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/05_validaciones/CONTROL_PII.json,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/05_validaciones/INVENTARIO_GRAFICOS.csv,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/05_validaciones/RESUMEN_VALIDACIONES.json,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/05_validaciones/VALIDACIONES.csv,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/06_integracion_propuesta/ALCANCE_VERSIONAMIENTO.csv,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/06_integracion_propuesta/COMANDOS_PROPUESTOS.txt,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/releases/siipa_v4.0_20260714_180259/06_integracion_propuesta/PLAN_INTEGRACION.md,VERSIONABLE_SIN_PII,Artefacto saneado sin PII
personal_academico_2026/scripts/generar_siipa_kpi.py,VERSIONABLE_SIN_PII,Generador oficial reproducible
