GRUPO_TRAZA	JORNADA	CODCARPR	NOMBRE_L	CODIGO_CARRERA_SIES
A1	D	IECIRE	INGENIERIA EN INFORMATICA	I162S2C1J1V1
A2	D	IINF	INGENIERIA EN INFORMATICA	I162S2C1J1V2
A2	D	IINF	INGENIERIA EN INFORMATICA	I162S2C1J2V1
A2	D	IINF	INGENIERIA EN INFORMATICA	I162S2C1J2V2
A2	D	IINF	INGENIERIA EN INFORMATICA	I162S2C1J2V3
A2	D	IINF	INGENIERIA EN INFORMATICA	I162S2C1J2V4
A3	O	IINF	INGENIERIA EN INFORMATICA	I162S2C1J4V2
A4	O	CIINF	CONTINUIDAD INGENIERIA INFORMATICA	I162S2C1J4V3
A5	O	IECIRE	INGENIERIA EN INFORMATICA	I162S2C1J4V1
A6	O	IECIREOL	INGENIERIA EN INFORMATICA	I162S2C1J4V1
A6	O	IECIREOL	INGENIERIA EN INFORMATICA	I162S2C1J4V2
A7	V	IECIRE	INGENIERIA EN INFORMATICA	I162S2C1J2V1
A7	V	IECIRE	INGENIERIA EN INFORMATICA	I162S2C1J2V4
A8	V	IINF	INGENIERIA EN INFORMATICA	I162S2C1J2V1
A8	V	IINF	INGENIERIA EN INFORMATICA	I162S2C1J2V4

B1	D	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J1V1
B1	D	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J1V2
B1	D	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J2V1
B1	D	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J2V3
B1	D	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J2V4
B2	D	TCRE	TECNICO EN CONECTIVIDAD Y REDES	I162S2C6J1V1
B2	D	TCRE	TECNICO EN CONECTIVIDAD Y REDES	I162S2C6J1V2
B2	D	TCRE	TECNICO EN CONECTIVIDAD Y REDES	I162S2C6J2V1
B2	D	TCRE	TECNICO EN CONECTIVIDAD Y REDES	I162S2C6J2V2
B3	D	TTMRE	TECNICO EN CONECTIVIDAD Y REDES	I162S2C6J2V1
B3	D	TTMRE	TECNICO EN CONECTIVIDAD Y REDES	I162S2C6J2V2
B4	O	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J4V2
B5	O	CICRE	CONTINUIDAD INGENIERIA CONECTIVIDAD Y REDES	I162S2C3J4V3
B6	O	IETMREOL	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J4V1
B6	O	IETMREOL	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J4V2
B7	O	NETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J4V1
B7	O	NETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J4V2
B8	O	TCRE	TECNICO EN CONECTIVIDAD Y REDES	I162S2C6J4V2
B9	O	TTMREOL	TECNICO EN CONECTIVIDAD Y REDES	I162S2C6J4V1
B9	O	TTMREOL	TECNICO EN CONECTIVIDAD Y REDES	I162S2C6J4V2
B10	V	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J2V1
B10	V	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J2V2
B10	V	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J2V3
B10	V	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J2V4
B11	V	IETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J2V2
B11	V	IETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J2V3
B12	V	NETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J2V1
