CODCLI,COLUMNA,VALOR_V7,VALOR_V8,CAMBIO_AUTORIZADO,MOTIVO
20241ICRE068,CODIGO_UNICO_PROPUESTO,,I162S2C3J2V4,SI,Cierre ICRE068 por evidencia CNED/Indices
20241ICRE068,CODIGO_UNICO_ESTADO,PENDIENTE_INSTITUCIONAL,VALIDADO_DECISION_INSTITUCIONAL,SI,Cierre ICRE068 por evidencia CNED/Indices
20241ICRE068,CODIGO_UNICO_FUENTE,MATRICULA_UNIFICADA_OFERTA,RESOLUCION_INSTITUCIONAL_SIES,SI,Cierre ICRE068 por evidencia CNED/Indices
20241ICRE068,CODIGO_UNICO_CONFIANZA,BAJA,ALTA,SI,Cierre ICRE068 por evidencia CNED/Indices
20241ICRE068,CODIGO_UNICO_REQUIERE_REVISION,SI,NO,SI,Cierre ICRE068 por evidencia CNED/Indices
20241ICRE068,ESTADO_GLOBAL_REGISTRO,PENDIENTE_INSTITUCIONAL,APTO,SI,Cierre ICRE068 por evidencia CNED/Indices
20241ICRE068,APTO_PARA_FUTURA_CARGA,NO,SI,SI,Cierre ICRE068 por evidencia CNED/Indices
20241ICRE068,MOTIVO_NO_APTO,CODIGO_UNICO_PENDIENTE_INSTITUCIONAL,,SI,Cierre ICRE068 por evidencia CNED/Indices
20241ICRE068,CODIGO_UNICO_REGLA,MULTIPLES_CANDIDATOS_COMPATIBLES,RESOLUCION_POR_EVIDENCIA_EXPLICITA,SI,Cierre ICRE068 por evidencia CNED/Indices
20241ICRE068,VERSION_GOBERNANZA,V7,V8,SI,Cierre ICRE068 por evidencia CNED/Indices
20241ICRE068,ID_RESOLUCION_INSTITUCIONAL,,EXT-ICRE068-2026-002,SI,Cierre ICRE068 por evidencia CNED/Indices
20241ICRE068,FECHA_INTEGRACION_MU_EXTRANJEROS,2026-06-25T18:26:55,2026-06-25T19:54:39,SI,Cierre ICRE068 por evidencia CNED/Indices
