CONTROL,RESULTADO,DETALLE
historicos_intactos,OK,
commit_base_registrado,OK,
V7_intacta,OK,
resolucion_basada_en_evidencia,OK,
V1_V4_comparados,OK,
homologos_auditados,OK,
decision_trazable,OK,
config_actualizada,OK,
puente_V2_valido,OK,
duplicados_0,OK,
many_to_many_0,OK,
V8_61_registros,OK,
20_TSV_V8_61_filas,OK,
cambios_V7_V8_autorizados,OK,
APTO_56,OK,
APTO_CON_ADVERTENCIAS_5,OK,
PENDIENTE_INSTITUCIONAL_0,OK,
IINF072_intacto,OK,
AUDT004_intacto,OK,
ICRE068_resuelto,OK,
PES_generado,OK,
PES_validado,OK,
cambios_inesperados_0,OK,
pruebas_fallidas_0,OK,
hashes_registrados,OK,
